Site,Latitude,AirTemp,Width
GTM,30,21.742,12.43
GTM,30,21.742,11.84
GTM,30,21.742,11.58
GTM,30,21.742,14.44
GTM,30,21.742,7.55
GTM,30,21.742,13.1
GTM,30,21.742,13
GTM,30,21.742,10.32
GTM,30,21.742,12.68
GTM,30,21.742,13.56
NIB,33.3,18.967,12.71
NIB,33.3,18.967,14.53
NIB,33.3,18.967,14.47
NIB,33.3,18.967,14.69
NIB,33.3,18.967,15.14
NIB,33.3,18.967,8.52
NIB,33.3,18.967,15.88
NIB,33.3,18.967,12.7
NIB,33.3,18.967,9.72
NIB,33.3,18.967,15.67
PIE,42.7,10.293,21.1
PIE,42.7,10.293,18.75
PIE,42.7,10.293,19.51
PIE,42.7,10.293,17.58
PIE,42.7,10.293,21.19
PIE,42.7,10.293,18.67
PIE,42.7,10.293,18.94
PIE,42.7,10.293,16.29
PIE,42.7,10.293,19.37
PIE,42.7,10.293,17.52
VCR,37.2,14.95,16.11
VCR,37.2,14.95,20.78
VCR,37.2,14.95,18.71
VCR,37.2,14.95,13.15
VCR,37.2,14.95,12.94
VCR,37.2,14.95,15.06
VCR,37.2,14.95,13.84
VCR,37.2,14.95,19.36
VCR,37.2,14.95,19.76
VCR,37.2,14.95,14.2
